,trna.rep.1.tp.1_0,trna.rep.2.tp.1_0,trna.rep.3.tp.1_0,trna.rep.1.tp.2_0,trna.rep.2.tp.2_0,trna.rep.3.tp.2_0,trna.rep.1.tp.3_0,trna.rep.2.tp.3_0,trna.rep.3.tp.3_0,trna.rep.1.tp.4_0,trna.rep.2.tp.4_0,trna.rep.3.tp.4_0,rbf.rep.1.tp.1_0,rbf.rep.2.tp.1_0,rbf.rep.3.tp.1_0,rbf.rep.1.tp.2_0,rbf.rep.2.tp.2_0,rbf.rep.3.tp.2_0,rbf.rep.1.tp.3_0,rbf.rep.2.tp.3_0,rbf.rep.3.tp.3_0,rbf.rep.1.tp.4_0,rbf.rep.2.tp.4_0,rbf.rep.3.tp.4_0
VNG_2541C,59.58,50.56,46.08,64.67,58.32,38.90,44.91,113.15,73.16,53.78,61.90,40.19,221.21,281.07,187.34,303.79,177.21,264.83,313.99,175.05,255.28,96.96,88.45,176.57
VNG_2543C,1215.42,1096.24,1049.70,1167.23,1165.46,897.00,1320.44,1726.43,1476.67,2026.23,1650.33,1600.25,20.78,120.04,149.58,202.14,123.04,186.86,88.49,217.42,146.76,77.42,60.54,112.79
VNG_2544H,72.44,167.45,114.68,127.53,202.60,89.16,721.49,79.26,165.89,45.26,49.60,188.55,3352.93,842.16,1206.80,2174.42,1985.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VNG_2546G,185.71,171.21,170.21,190.30,193.20,149.67,113.50,194.81,80.64,28.57,32.55,25.62,59.66,64.94,46.53,45.14,35.33,32.94,0.00,22.30,23.41,37.05,38.62,107.94
VNG_2547G,183.59,177.60,175.79,209.69,184.16,170.97,94.51,120.51,72.98,35.02,38.89,30.80,29.38,24.91,31.73,23.82,17.40,36.51,5.21,16.47,23.06,6.84,24.97,19.94
VNG_2549C,235.96,168.32,198.94,411.28,463.11,340.65,111.87,99.75,70.57,43.30,49.91,51.33,28.96,111.55,118.15,100.18,68.60,132.52,150.75,79.38,136.38,71.95,121.88,78.61
VNG_2551G,56.44,39.30,51.15,104.40,109.98,73.57,24.28,29.19,16.68,9.02,12.32,12.12,58.50,44.08,21.05,31.61,51.95,32.30,83.03,21.86,38.25,54.49,66.27,26.46
VNG_2552G,59.98,44.26,52.73,108.03,120.36,81.84,47.01,36.46,26.75,14.40,20.13,19.25,43.37,21.79,67.65,56.26,51.36,34.21,61.56,54.03,22.69,26.93,84.24,156.94
VNG_2553G,80.68,65.79,57.69,73.90,64.88,51.85,38.83,53.85,28.10,17.85,20.71,15.05,50.09,204.44,148.73,129.93,185.37,171.88,35.55,74.87,49.13,46.66,85.12,135.94
VNG_2554H,70.70,52.55,52.98,55.29,55.55,45.81,41.87,62.82,30.24,20.15,29.65,22.49,282.71,278.12,169.59,305.57,223.20,323.37,33.44,105.65,129.41,0.00,68.63,0.00
VNG_2555C,911.60,908.72,828.54,853.65,870.75,802.65,611.68,565.29,451.93,373.56,328.02,401.65,71.24,23.86,34.19,15.40,56.24,89.91,0.00,53.24,74.54,44.24,23.06,128.89
VNG_2556H,71.12,55.45,49.85,135.39,133.37,99.91,103.36,119.15,83.16,22.31,26.71,22.91,213.58,364.79,353.62,166.21,252.93,323.49,121.27,223.48,134.08,39.79,0.00,0.00
VNG_2558G,38.48,23.03,27.17,119.32,127.85,68.63,54.60,71.89,26.31,15.25,20.65,19.56,49.88,34.45,31.42,0.00,22.15,35.41,0.00,18.64,58.71,11.62,12.11,33.84
VNG_2560G,22.23,12.57,11.69,75.93,76.19,35.02,28.18,38.51,14.69,10.14,11.01,9.57,20.43,15.39,40.44,13.25,12.10,29.01,29.00,53.44,8.02,0.00,29.76,27.72
VNG_2562H,80.29,44.93,48.36,252.87,270.55,144.37,143.86,111.18,52.77,43.15,45.22,43.13,103.53,89.83,105.02,122.08,44.58,80.19,106.88,91.45,132.95,70.14,82.26,102.17
VNG_2563H,32.89,23.44,26.23,34.60,35.47,30.57,19.64,9.14,8.64,11.26,11.59,14.29,176.04,129.25,180.34,114.17,120.28,160.24,173.00,80.97,170.03,63.07,263.01,73.50
VNG_2565G,24.73,21.79,19.30,24.62,23.56,21.12,32.66,31.57,31.81,11.22,13.21,11.08,40.00,46.88,47.99,21.62,11.84,56.80,37.85,74.74,88.94,80.73,45.32,72.37
VNG_2566H,3.68,4.35,4.33,5.39,6.72,4.92,33.41,15.09,24.05,13.73,16.95,17.12,84.32,68.24,52.27,60.76,55.48,99.77,66.49,52.52,77.20,69.82,68.24,50.85
VNG_2567C,112.00,104.24,98.45,128.34,116.12,106.69,153.55,162.26,136.74,106.27,105.41,97.00,34.38,25.91,24.75,22.30,20.36,48.82,0.00,77.09,53.96,64.05,0.00,0.00
