,trna.rep.1.tp.1_0,trna.rep.2.tp.1_0,trna.rep.3.tp.1_0,trna.rep.1.tp.2_0,trna.rep.2.tp.2_0,trna.rep.3.tp.2_0,trna.rep.1.tp.3_0,trna.rep.2.tp.3_0,trna.rep.3.tp.3_0,trna.rep.1.tp.4_0,trna.rep.2.tp.4_0,trna.rep.3.tp.4_0,rbf.rep.1.tp.1_0,rbf.rep.2.tp.1_0,rbf.rep.3.tp.1_0,rbf.rep.1.tp.2_0,rbf.rep.2.tp.2_0,rbf.rep.3.tp.2_0,rbf.rep.1.tp.3_0,rbf.rep.2.tp.3_0,rbf.rep.3.tp.3_0,rbf.rep.1.tp.4_0,rbf.rep.2.tp.4_0,rbf.rep.3.tp.4_0
VNG_1991H,49.19274846,37.83958618,35.1819516,30.25668507,26.04632304,29.78400656,17.94694353,16.00849766,12.08914882,7.290482301,6.506745182,8.954068519,26.2441389,6.591720398,37.78355481,34.03937233,15.53954735,49.68600865,74.50373303,0,20.59475465,0,25.4852038,0
VNG_1992G,22.08870218,18.32597761,19.20989846,19.74447068,18.98644779,18.98495393,16.84454204,16.58298636,11.48211834,3.711178262,5.16213255,5.150475205,41.57150223,20.88297274,17.95509606,21.5676908,9.846006098,19.675966,0,6.214031957,19.57361454,23.23336596,0,0
VNG_1993H,13.31902179,10.98400182,13.10173025,13.30672832,12.0928162,12.14934521,10.81426224,11.5680763,8.595323005,2.823147481,3.793524417,4.076545285,274.97376,244.3838826,251.2302833,281.2027419,256.7479903,180.2030181,315.24771,284.5566268,282.1767362,137.91524,205.4010962,86.10590432
VNG_1994C,360.9782463,320.8232103,276.0646522,288.1723649,329.1413549,238.5628812,236.2102927,424.9508499,273.8981316,142.1496779,208.6670372,125.5174709,137.3664789,224.2648249,420.2523821,311.7936191,325.3472285,455.113562,194.9829075,51.33324198,323.3901534,319.8803363,266.7877638,0
VNG_1995C,363.6124473,363.9271251,281.7024438,311.8813832,315.8787472,257.5454733,326.7817663,400.8687327,281.8836054,156.1727748,116.1943182,137.4632762,164.4447172,454.3371613,532.6872862,1066.449387,194.7402048,856.1571842,233.4185489,122.9042412,129.0459492,0,0,0
VNG_1997G,155.7404507,138.0268727,117.0853246,92.10826446,75.3868858,78.21184538,39.37044279,37.90617585,30.72054188,28.20645232,27.41096032,26.89699677,78.47721982,91.51569636,86.75498328,76.34029441,23.23374304,45.10302456,23.87000869,20.94760952,35.19094334,31.32796895,10.88676651,60.85120071
VNG_1998H,341.3335427,270.8737669,254.6694699,199.4643544,176.1621544,153.6376631,132.0074419,211.0448609,155.3813392,175.9101667,185.0886098,188.3218763,1301.370852,1552.608011,1268.569384,1617.584714,866.883204,1231.894768,307.8697398,324.2113863,255.3091652,151.5231777,157.9673446,1030.107614
VNG_1999H,429.2574987,352.3058163,333.9444002,287.889717,300.70605,247.9314549,227.3107144,322.8922795,192.4739685,179.9582699,201.5982743,148.0726471,190.9418315,127.8900939,125.9952412,41.27613243,18.84326395,60.24921962,90.34319787,47.56942433,24.97322046,59.28512951,92.7099111,86.36615077
VNG_2000G,404.739796,356.6525319,321.7757719,313.0094052,320.5762501,232.1720597,172.7852058,317.1893348,188.5065741,300.9746451,268.245676,264.1176707,17.35143364,23.96979249,21.85810763,16.87899363,30.82209195,20.53134782,36.94386437,19.45249489,47.65715146,24.24336144,42.1240432,23.54496331
VNG_2001G,339.3074441,334.5045162,291.8054612,344.2137316,400.1887808,274.5483,524.483464,502.8518674,355.8371612,178.324741,188.3442385,155.2238328,42.30910299,53.13378738,24.74551799,34.29757211,53.23519348,32.54084504,52.5481505,15.81068899,74.70345646,19.70467123,30.8141187,71.76420179
VNG_2002H,1.583468371,2.277522995,2.276239413,2.158913355,3.242541604,2.787694839,18.27262744,10.76118506,10.01721834,10.26962874,17.69271871,11.36556162,39.9089016,56.1339189,54.58385243,46.5867222,66.16598444,41.55610878,33.98889325,5.965527166,6.263609527,7.434744339,7.750960346,0
VNG_2003G,53.26866997,48.28511209,54.25355834,44.74033348,44.55066424,48.04878901,52.95236371,30.40785969,22.091834,12.85286598,18.90029551,17.09201105,29.92654472,52.61655432,59.24209182,58.22341727,53.15999151,63.7398446,84.95773149,44.73378094,117.4230667,69.68882029,72.65283839,243.6537659
VNG_2005G,110.0662421,98.59487218,99.19623277,103.8671873,91.9680435,96.24067685,55.79646137,115.6321823,94.53425265,68.82462996,90.35592774,75.61824628,40.890059,49.29763385,17.66075192,26.51774937,38.73869748,46.44844406,69.64904755,12.22433442,44.92326835,38.08769495,55.59063557,22.19435097
VNG_2006C,98.2824195,84.78240907,95.58638797,114.1391253,93.42287305,98.26536318,192.31424,280.5233231,248.1899744,208.0915648,258.2848015,225.0509323,161.1116965,86.71338863,99.40763849,29.85221506,27.25610848,65.36135705,65.33922427,68.80756492,72.24589267,21.43849318,0,62.46290879
VNG_2008H,609.9511406,548.7734646,604.4304813,648.0165244,555.6094708,680.1524345,1593.131068,1659.55087,1934.323288,1558.287634,1653.043394,1719.999724,0,102.6126875,21.00624959,37.84924177,103.6724976,55.24708255,0,87.24009431,137.3987466,0,56.6752347,158.3912056
VNG_2010G,2067.635052,1591.485466,1419.723844,1245.91701,1085.818703,1198.492049,346.6762677,558.3695813,288.2864659,262.3922662,260.4376493,226.7956246,0,8.838723032,0,22.82138245,20.8366802,0,0,0,55.23030076,0,34.17257581,0
VNG_2011G,35.66751727,30.54158951,26.55139279,20.10065841,21.29773513,22.65428112,10.91164741,17.81823211,11.34643252,9.657991352,15.10518967,9.481170836,121.3287051,101.5800191,92.18999292,192.3367021,95.78757093,95.70894593,191.353295,141.0572545,137.5274811,113.0134405,78.54644326,146.343433
VNG_2012C,26.703735,21.56229393,21.26143871,19.44381042,19.63205804,13.91003967,21.65292533,22.46395948,19.56130769,32.19648803,36.58048933,31.54608848,196.9103465,232.451269,180.7254372,287.3226035,104.9340107,177.0777373,41.92517645,51.50910459,30.90454566,36.68298361,66.92541546,133.5992433
VNG_2014H,92.98347612,101.3794031,101.4627198,94.12842597,92.31897304,81.69877944,254.676745,228.3902616,285.0979655,3419.962386,2896.41314,3198.041422,283.9900651,142.6590503,51.10733951,0,252.2321119,67.20694063,0,424.5029718,111.4288686,0,137.8889085,0
VNG_2015C,268.1777463,210.1533424,180.9496594,164.3458688,167.1043782,147.187796,38.20713012,53.97248749,29.36264929,22.21270775,24.37989404,23.68224736,17.09996874,30.06503306,12.30942633,33.26877773,30.37548625,0,24.27237656,12.78044815,13.41907299,15.92808626,0,0
VNG_2017G,161.6041384,140.534462,130.7617069,132.4328671,119.5839859,116.7964299,42.12799203,67.0222733,40.06468407,29.99909367,34.74118559,31.1148416,12.42032243,26.5167084,20.1166923,8.054758073,7.354273381,41.1502591,0,18.56574438,24.36678921,17.35361777,18.09175033,16.8537784
VNG_2019C,39.81024822,34.344661,33.06872727,35.1310763,31.82815081,27.12648997,39.29407654,52.03529675,44.64728062,33.6271629,37.33177205,30.66388997,44.84410023,22.52695293,28.24585186,21.81155785,29.87200905,7.959359611,31.82667825,8.379034395,13.19654628,46.99200764,5.443403795,30.42566102
VNG_2020C,144.4414738,117.263565,92.35152737,88.715719,74.53406377,73.12790061,54.44368765,46.34713748,47.57304651,21.64941533,19.81566699,18.45935716,462.3630944,368.8883421,274.096328,352.7630734,499.2320466,296.0766771,501.8722105,345.5662665,640.2953084,861.3491689,448.9922015,516.6856553
VNG_2021C,381.7982508,352.1741715,364.1610682,314.9648147,325.9534814,298.1040343,178.9159617,267.060451,169.9956872,104.207187,123.2702502,116.5360005,56.21111349,42.35548531,85.9847379,41.01034475,33.28345248,26.60499557,39.89400161,15.75439036,49.62483466,39.26891469,34.11598356,19.06896705
VNG_2023G,295.9331165,247.5555754,285.2461986,244.9113076,234.8042735,249.7352411,145.1478931,204.3546128,136.9304468,181.7845292,191.0250717,206.8671339,94.18471278,136.6817576,97.93156788,169.6667617,92.94728647,138.687812,0,39.10721295,49.27368844,9.747768441,0,113.6038231
VNG_2024H,2.795498045,6.031208189,4.868019863,2.153196159,5.19921095,6.154893622,46.77542434,5.566526631,12.44795209,5.502329721,5.895871991,17.59552924,0,0,43.18366157,77.80876612,0,0,170.3038546,0,0,0,0,0
VNG_2025G,20.75079533,16.59494623,15.94793856,16.38093517,16.35097215,12.28112117,23.09712037,26.50918789,21.93070225,20.43114506,26.79926479,21.20273178,50.29973345,69.48570263,40.73414249,40.77501409,14.89158836,41.66243584,35.69861516,56.39042181,69.07615147,58.56553213,0,0
