,trna.rep.1.tp.1_0,trna.rep.2.tp.1_0,trna.rep.3.tp.1_0,trna.rep.1.tp.2_0,trna.rep.2.tp.2_0,trna.rep.3.tp.2_0,trna.rep.1.tp.3_0,trna.rep.2.tp.3_0,trna.rep.3.tp.3_0,trna.rep.1.tp.4_0,rbf.rep.2.tp.3_0,trna.rep.2.tp.4_0,trna.rep.3.tp.4_0,rbf.rep.1.tp.1_0,rbf.rep.2.tp.1_0,rbf.rep.3.tp.1_0,rbf.rep.1.tp.2_0,rbf.rep.2.tp.2_0,rbf.rep.3.tp.2_0,rbf.rep.1.tp.3_0,rbf.rep.3.tp.3_0,rbf.rep.1.tp.4_0,rbf.rep.2.tp.4_0,rbf.rep.3.tp.4_0
VNG_2371C,183.722,150.472,245.481,1050.6,1643.08,413.353,136.19,103.41,87.2803,61.8301,0,57.856,58.2487,0,5.87874,32.4935,0,14.724,0,0,15.959,0,0,104.574
VNG_2372G,442.495,445.412,455.851,1071.1,1385.67,707.269,785.899,1148.52,1021.55,960.179,14.7552,861.623,807.502,62.7513,23.3716,45.2137,57.1863,46.8295,53.1656,50.2112,38.0682,31.9305,35.1457,41.5747
VNG_2373G,107.711,119.209,133.135,100.289,92.6871,112.984,177.938,136.263,186.116,174.456,468.477,197.14,172.012,264.047,234.238,224.843,376.259,412.015,372.854,192.073,490.262,256.502,147.887,365.783
VNG_2374G,537.796,499.853,432.797,374.276,382.492,331.272,181.151,267.997,276.778,991.549,24.8368,825.335,672.745,82.1543,73.4358,39.8653,57.7558,52.5509,59.6612,56.3458,56.9589,17.9158,9.85992,69.9812
VNG_2376H,63.5468,76.2103,79.0876,75.6991,99.7157,92.607,146.433,151.794,177.577,170.579,2044.3,186.874,226.81,362.253,289.116,319.605,933.788,753.088,1052.29,1118.04,1161.6,592.488,695.625,925.73
VNG_2377G,566.066,644.44,770.423,1914.77,2096.05,1970.4,5155.48,4994.35,5378.43,3911.59,262.65,3605.99,3034.19,118.47,200.45,120.202,222.098,179.98,186.408,182.82,266.947,129.177,28.437,269.11
VNG_2378G,472.891,456.816,557.968,1246.37,1180.57,1182.27,1758.92,2996.78,2831.82,1889.02,129.778,1884.14,1431.58,28.3038,63.2502,122.361,100.595,110.892,125.896,152.871,163.12,108.016,178.339,196.897
VNG_2379H,708.509,615.31,751.581,456.21,553.555,625.213,489.668,344.811,520.819,421.875,217.701,416.624,380.081,462.923,206.898,285.897,253.122,431.833,326.841,0,93.611,0,0,0
VNG_2380H,165.565,148.547,133.535,186.923,239.16,167.06,208.375,212.166,169.954,181.435,1832.11,153.442,117.957,1320.62,1219.82,1311.76,926.695,1441.35,979.024,898.201,1402.02,1511.97,1775.16,699.96
VNG_2381G,47.3648,55.7694,53.6001,36.6482,47.6981,52.8584,79.0231,45.3404,51.3861,72.9718,4.53499,86.0715,90.1494,6.42885,15.8031,15.8816,7.03046,7.1965,10.8936,0,7.80014,0,10.802,0
